,ID_UNIDADE,DT_NOTIFIC,LAT,LNG,CASES,CASES_MM_14,CASES_MM_21,CASES_ACC_14,CASES_ACC_21,TEM_MIN_ERA5,TEM_AVG_ERA5,TEM_MAX_ERA5,IDEAL_TEMP_ERA5,EXTREME_TEMP_ERA5,TEMP_RANGE_ERA5,TEM_AVG_ERA5_MM_7,TEM_AVG_ERA5_MM_14,TEM_AVG_ERA5_MM_21,TEMP_RANGE_ERA5_MM_7,TEMP_RANGE_ERA5_MM_14,TEMP_RANGE_ERA5_MM_21,TEM_AVG_ERA5_ACC_7,TEM_AVG_ERA5_ACC_14,TEM_AVG_ERA5_ACC_21
5903,2283395,2020-02-29,-22.89387,-42.03978,0,0.07142857142857142,0.047619047619047616,1.0,1.0,,,,0,0,,,,,,,,,,
5904,2283395,2020-03-01,-22.89387,-42.03978,0,0.07142857142857142,0.047619047619047616,1.0,1.0,,,,0,0,,,,,,,,,,
5905,2283395,2020-03-02,-22.89387,-42.03978,0,0.07142857142857142,0.047619047619047616,1.0,1.0,,,,0,0,,,,,,,,,,
5906,2283395,2020-03-03,-22.89387,-42.03978,0,0.07142857142857142,0.047619047619047616,1.0,1.0,,,,0,0,,,,,,,,,,
5907,2283395,2020-03-04,-22.89387,-42.03978,0,0.0,0.047619047619047616,0.0,1.0,,,,0,0,,,,,,,,,,
5908,2283395,2020-03-05,-22.89387,-42.03978,0,0.0,0.047619047619047616,0.0,1.0,,,,0,0,,,,,,,,,,
5909,2283395,2020-03-06,-22.89387,-42.03978,0,0.0,0.047619047619047616,0.0,1.0,,,,0,0,,,,,,,,,,
5910,2283395,2020-03-07,-22.89387,-42.03978,0,0.0,0.047619047619047616,0.0,1.0,,,,0,0,,,,,,,,,,
5911,2283395,2020-03-08,-22.89387,-42.03978,0,0.0,0.047619047619047616,0.0,1.0,,,,0,0,,,,,,,,,,
5912,2283395,2020-03-09,-22.89387,-42.03978,0,0.0,0.047619047619047616,0.0,1.0,,,,0,0,,,,,,,,,,
5913,2283395,2020-03-10,-22.89387,-42.03978,0,0.0,0.047619047619047616,0.0,1.0,,,,0,0,,,,,,,,,,
5914,2283395,2020-03-11,-22.89387,-42.03978,0,0.0,0.0,0.0,0.0,,,,0,0,,,,,,,,,,
