local,resolution,features,stage,seed,model,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson,Spearman
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,140,xgb_poisson,0.1484732199961328,0.3853222287853802,0.0474246277869498,0.3546524539140695,80.44564108012884,5.717962948277301,1.0625674787613633,0.5979980363575313,0.3796148404629907
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,140,xgb_zip,0.1624276768848631,0.4030231716475655,0.0451459848586259,0.293998589800807,95.80793383235005,4.817542185867996,1.5283948698630716,0.5461872760260754,0.3110886106827516
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,149,rf,0.1480508083827882,0.3847737106180569,0.0479422307497806,0.356488490730118,80.73811193127389,5.7711932001048165,1.0597538630599328,0.598591179753611,0.3774723355880111
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,149,xgb_poisson,0.1468058840152901,0.3831525597138692,0.0474261151517855,0.3618996274027678,80.33442486595925,5.72969038209677,1.0555854822031807,0.6033734694418306,0.3812483155834645
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,149,xgb_zip,0.16339148929841,0.404217131376702,0.0460889741644728,0.2898093226994007,94.82774472546215,4.866737155588655,1.4609438608830054,0.5435088651407983,0.3262918099633648
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,220,rf,0.1484657831719542,0.3853125785280754,0.0479675159519878,0.3546847785059014,80.7215854405081,5.771308749179849,1.0588850000290504,0.5971246523503965,0.3776139349034108
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,220,xgb_poisson,0.1465634435470676,0.3828360530920092,0.0473800068418782,0.3629534090964857,80.54417973828845,5.715556190797988,1.0563525961508615,0.6040016560336101,0.3811759974508984
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,220,xgb_zip,0.1621941606056549,0.402733361674514,0.0458286853182217,0.2950135819843268,94.84374501047498,4.854043161574899,1.4634133467282893,0.5477622981305359,0.3272800380970871
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,222,rf,0.1479437181146163,0.384634525380414,0.0479303318310948,0.3569539648524964,80.79052389754638,5.775013872095017,1.0621981704626535,0.5990111716595296,0.3762317701267381
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,222,xgb_poisson,0.1476908660925438,0.384305693546874,0.04746627400235,0.358053000974779,80.43382005750614,5.723238186011077,1.0579810495484132,0.6005830370629437,0.3805695548768187
