local,resolution,features,model,n_seeds_baseline,MSE_mean_baseline,RMSE_mean_baseline,MAE_mean_baseline,R2_mean_baseline,MAPE (ign. zeros)_mean_baseline,SMAPE_mean_baseline,Poisson_Deviance_mean_baseline,Pearson_mean_baseline,Spearman_mean_baseline,MSE_std_baseline,RMSE_std_baseline,MAE_std_baseline,R2_std_baseline,MAPE (ign. zeros)_std_baseline,SMAPE_std_baseline,Poisson_Deviance_std_baseline,Pearson_std_baseline,Spearman_std_baseline,n_seeds_optimized,MSE_mean_optimized,RMSE_mean_optimized,MAE_mean_optimized,R2_mean_optimized,MAPE (ign. zeros)_mean_optimized,SMAPE_mean_optimized,Poisson_Deviance_mean_optimized,Pearson_mean_optimized,Spearman_mean_optimized,MSE_std_optimized,RMSE_std_optimized,MAE_std_optimized,R2_std_optimized,MAPE (ign. zeros)_std_optimized,SMAPE_std_optimized,Poisson_Deviance_std_optimized,Pearson_std_optimized,Spearman_std_optimized,MSE_improvement_pct,RMSE_improvement_pct,MAE_improvement_pct,Poisson_Deviance_improvement_pct,R2_change,Spearman_change
RJ,WEEKLY,FULL,xgb_poisson,1,1.7678968617901605,1.3296228268912054,0.234949348007126,0.6667667663221826,70.47059069508796,16.620483972622022,2.9960968921562143,0.8328364397362162,0.6149401971305088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.9190263854189726,1.3852533960248168,0.2354511242528699,0.6382801611635414,72.22591061105163,16.02623562101577,3.5256989847395195,0.8232917927874869,0.6063194165785519,0.029098087899492656,0.010510006907948432,0.0005314662998533632,0.005484737336300687,0.29555935977521103,0.04034927276315158,0.022555500501546484,0.002271197397151236,0.001042287321917344,-8.548548667922823,-4.183936076344402,-0.21356783919599895,-17.676400718875417,-0.02848660515864121,-0.00862078055195692
RJ,WEEKLY,FULL,xgb_zip,1,1.7668743345666909,1.329238253499609,0.2490855233336495,0.6669595038401707,92.05161073106758,15.63637967935311,4.385919890073514,0.8187903767099142,0.5793573494023211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.8169929266415779,1.3478580279907333,0.24349430230964653,0.6575125836801436,86.64644452708202,15.449024315804081,4.129609590205487,0.8196742236224521,0.5897181276339203,0.04710926624658205,0.017373767662440365,0.002790692818305542,0.008879688327316603,1.0154923175280586,0.07504092779125777,0.26351548295360167,0.005870258521421541,0.009661802638490579,-2.8365680056798217,-1.400785332659685,2.2446993101696826,5.843934825351569,-0.009446920160027017,0.0103607782315992
RN,DAILY,CASEONLY,rf,1,0.2494520547945205,0.4994517542210864,0.0875342465753424,0.1973197012596778,80.96336320506062,9.651538871311711,1.7562429491014933,0.4517215467265683,0.3721139305692156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.25421917808219174,0.5041986350037139,0.085972602739726,0.1819801766050027,82.82460610320388,9.49036121560192,1.8377878274715875,0.4318959767589824,0.3562422029366833,0.001813653565268526,0.0017995501238809398,0.0006961037077683872,0.0058359270152348475,0.7243156279467482,0.12870293634987018,0.01288460539874825,0.006537529376401422,0.005036046374801822,-1.9110378912685337,-0.9504182821482745,1.7840375586854003,-4.643143388095208,-0.015339524654675085,-0.015871727632532306
RN,DAILY,CASEONLY,xgb_poisson,1,0.2643835616438356,0.5141824205900428,0.0794520547945205,0.1492734889792302,84.50521290927196,8.51251358922491,2.031853042139032,0.4126377596557106,0.3515253124007621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.27813698630136985,0.5273705139252864,0.07761643835616432,0.10501807876861599,87.68577578632929,7.930764685495367,2.4195381632552815,0.3642460090834937,0.32596763584583527,0.00465269692391316,0.004387778930567522,0.0013455994240067052,0.014971326493626556,1.4411567213934655,0.25622461082117687,0.1489480533406124,0.02894991101220426,0.027306936753034743,-5.202072538860111,-2.564866632373353,2.3103448275862317,-19.080372107429284,-0.044255410210614216,-0.025557676554926856
RN,DAILY,CASEONLY,xgb_zip,1,0.4212328767123288,0.6490245578653622,0.1305479452054794,-0.3554321354346461,94.94640660692322,12.40244182879753,2.2625800459392584,0.3107843941825554,0.2811437058872067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.3502328767123287,0.5912008658024384,0.1254657534246575,-0.126970192086426,90.44410765536227,12.256832991581769,2.0295457058889794,0.3571272899561545,0.31375389603971676,0.03376625418377004,0.028174318226515383,0.02135038432398064,0.10865216972414192,3.107241022653481,2.309592590987044,0.37894915538287294,0.030787444123568736,0.02693762073567398,16.855284552845543,8.909322669253932,3.892969569779647,10.29949594351435,0.2284619433482201,0.032610190152510043
RN,DAILY,FULL,rf,1,0.253972602739726,0.5039569453234334,0.093972602739726,0.1827736002940376,77.31227669419552,10.9683913803038,1.5442118659727058,0.4352758037942851,0.3673901647847885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.25927397260273966,0.5091778492195191,0.09571232876712323,0.16571499097978698,77.05431090025186,11.25614590259135,1.5402920138865752,0.4180408631338051,0.3634329255466735,0.00370738576936993,0.0036347805870417006,0.0009963340573133203,0.01192952898044768,0.8604672964108186,0.16721251638994866,0.026883738039902336,0.012566150847721232,0.00673478561385718,-2.0873786407766843,-1.0359821299287875,-1.8513119533527276,0.25384159858539984,-0.017058609314250628,-0.0039572392381149735
RN,DAILY,FULL,xgb_poisson,1,0.3168493150684932,0.5628936978404476,0.077945205479452,-0.0195494404098655,100.0,7.42465753370283,3.5985372382803176,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.29513698630136986,0.5432545183217374,0.07689041095890406,0.050315923319042145,96.93006501493588,7.496489651338261,2.99979969591054,0.33619769082245116,0.21276295045018462,0.0038956221663192167,0.003576873927966679,0.0004476283445900326,0.012535231136164693,0.61611125712569,0.0798737603228302,0.10619820424688102,0.03613129823369575,0.023498372848986093,6.852572416774758,3.488967738323644,1.3532513181019223,16.638358942087933,0.06986536372890764,
RN,DAILY,FULL,xgb_zip,1,0.3198630136986301,0.5655643320601381,0.1146575342465753,-0.0292468410536257,81.47367187957593,12.251069432845837,1.76067702727686,0.2941517475744282,0.3319536396785847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.4312054794520548,0.655226197794126,0.18709589041095886,-0.387521715746725,82.73370233702336,19.67051218679847,1.2807323085638453,0.3825696401694203,0.34080878669645204,0.06086060173682883,0.04575428548607991,0.03656293007335846,0.19583565276250683,4.169665674621894,4.637097528396758,0.1250808764023344,0.03070880941801204,0.01409772440707194,-34.809421841541756,-15.853521987036114,-63.17801672640386,27.259100407263112,-0.3582748746930993,0.008855147017867326
RN,WEEKLY,CASEONLY,rf,1,2.197058823529412,1.4822478954376734,0.4284313725490196,0.5474966935557148,71.55797477758261,30.068122829354422,4.591561852357992,0.7420544106903513,0.5657434819609904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.0527450980392157,1.4326925176389427,0.4056862745098039,0.5772193560762855,67.73758886901044,29.108282037758222,4.539976689340454,0.7622240739435686,0.5740262277958936,0.035462561009771715,0.012348996387625962,0.0030586559364176656,0.007303821791228018,0.9051567314770009,0.37503652409920335,0.03438958088394343,0.004986622538682378,0.004363134812615615,6.5684962070504325,3.3432584354655606,5.308924485125862,1.1234774718551588,0.029722662520570653,0.008282745834903182
RN,WEEKLY,CASEONLY,xgb_poisson,1,3.72843137254902,1.9309146466245004,0.5068627450980392,0.2320972447980291,89.03867595730343,30.18732878279886,8.786333716495443,0.5338666597706538,0.474001968417141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3.3810784313725493,1.8385962527906234,0.4730392156862745,0.3036375935143211,80.49560498506577,29.094072183955284,7.855671407328169,0.6105604375397953,0.4995435284658497,0.09811984701709317,0.026713512952306007,0.007118634284572519,0.020208632890273494,1.410990079743134,0.679645167481242,0.6602473112857347,0.030579971765402194,0.014242537044611878,9.316329213778602,4.781070670071409,6.673114119922629,10.592157539157105,0.07154034871629203,0.025541560048708722
RN,WEEKLY,CASEONLY,xgb_zip,1,3.583333333333333,1.8929694486000912,0.5068627450980392,0.2619814435279508,90.28058999823706,28.977294405657776,7.515044265927189,0.5790214233244786,0.5171238231402778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.497549019607843,1.5796602328481297,0.4402941176470588,0.48560813334814085,85.62302925650965,26.34975902627632,7.2114316158032405,0.7047687648832215,0.5371544974103448,0.1599286773944354,0.049694269354786824,0.019945084588643705,0.0329386971988257,2.412403432261609,1.4409803102662844,0.5192242911461666,0.016810911461706542,0.01910711276589422,30.300957592339255,16.551202978139095,13.133462282398458,4.0400646939700975,0.22362668982019007,0.020030674270066995
RN,WEEKLY,FULL,rf,1,2.094117647058824,1.4471066467468192,0.4431372549019607,0.5686983210330241,70.63673771762006,32.7880305409728,4.070870834144015,0.760551012682428,0.5508411175433781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.217941176470588,1.489238915866257,0.4375490196078431,0.5431957919817464,68.08764813436382,31.584183367644123,4.312710192834885,0.7556427371469234,0.5584622858114919,0.03285264714527773,0.010986251007730602,0.00395005990023315,0.00676628741091449,1.4660092354684786,0.4683115636622741,0.2833277711348229,0.003729307099628862,0.007312392572629505,-5.912921348314572,-2.9114833529480015,1.261061946902648,-5.940727882163849,-0.0255025290512777,0.007621168268113876
RN,WEEKLY,FULL,xgb_poisson,1,3.7637254901960784,1.9400323425644423,0.4872549019607843,0.2248281153772374,86.71549732039928,28.85778166874647,12.095973875793844,0.5666893286987417,0.4136480074324645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3.4623529411764706,1.8606490052074687,0.4713725490196078,0.2868984038203313,75.08241395133552,27.873340115426934,5.675847486005461,0.6951201341611023,0.5798804906678348,0.07206338076381145,0.01938557874434796,0.004547065916581955,0.01484207783603826,0.8367739786865225,0.49714820547169425,0.1340932775160611,0.01686296789512282,0.007714338206138671,8.007293566032818,4.0918563889527935,3.2595573440643952,53.07655634604318,0.062070288443093924,0.16623248323537027
RN,WEEKLY,FULL,xgb_zip,1,2.697058823529412,1.6422724571548448,0.4833333333333333,0.4445173600944987,97.87329101544788,28.439023174587074,6.489691044707268,0.6690769907475629,0.5533799451601732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.489411764705882,1.5769153991264804,0.4933333333333333,0.4872840715201566,84.35618310883017,29.729210011782605,4.481039401446297,0.7091484643954704,0.5716526639912407,0.17928629969021806,0.05527294600089393,0.035456537440178564,0.036925567281653054,2.649611562482047,2.668185756345926,0.5493787502310942,0.011713668681677376,0.02100109407943046,7.699018538713207,3.9796720540264245,-2.0689655172413812,30.951421715200862,0.04276671142565791,0.018272718831067514
