stage,local,resolution,features,model,n_seeds,MSE_mean,RMSE_mean,MAE_mean,R2_mean,MAPE (ign. zeros)_mean,SMAPE_mean,Poisson_Deviance_mean,Pearson_mean,Spearman_mean,MSE_std,RMSE_std,MAE_std,R2_std,MAPE (ign. zeros)_std,SMAPE_std,Poisson_Deviance_std,Pearson_std,Spearman_std
OPTIMIZED_CORRECTED,RJ,DAILY,FULL,xgb_poisson,10,0.15327217721354525,0.3914988321733943,0.04892845321726967,0.3589826757509167,80.69599123802708,5.891574558389842,1.1089421810352715,0.6017817703622091,0.3793759931836732,0.0007569412126146946,0.0009670231605318188,7.63592601065913e-05,0.0031656915139145034,0.13424180369552646,0.012269958025480107,0.0038725401861112595,0.002079146736701545,0.0007976253191847119
OPTIMIZED_CORRECTED,RJ,DAILY,FULL,xgb_zip,10,0.166261743243285,0.40775081758976556,0.047246118581623406,0.3046575072114258,94.97140255721024,5.040430321593671,1.5476467597590733,0.5557387706916884,0.31716521010918675,0.0008658209417690488,0.0010614445936065692,0.00047175772612731415,0.003621050039619186,0.4624654415528724,0.02848825796803798,0.038664595642768286,0.003025275017570398,0.008147559177123037
OPTIMIZED_CORRECTED,RJ,WEEKLY,CASEONLY,rf,10,2.2502812458640316,1.5000910529032576,0.2907652093351568,0.6039267790648751,70.43237563722286,20.93936599404976,3.0987086574898157,0.7792505158830804,0.6132523490878095,0.008994849097605109,0.0029960833001519993,0.00039611404771035453,0.0015831882616726013,0.09226763446113323,0.029435824235572252,0.005584436363896083,0.0008841838848668939,0.0004980735561236673
OPTIMIZED_CORRECTED,RJ,WEEKLY,CASEONLY,xgb_poisson,10,2.2894483169365154,1.5130576555452258,0.28378810605726384,0.597032961670811,70.5584204811139,19.981623528597243,3.505966336965544,0.7844749204571547,0.6119260887868216,0.03271404786506068,0.010793410155208781,0.0006722968718336357,0.005758017284086315,0.19237064808959897,0.05975583291004842,0.01684006622079575,0.0036776963917500498,0.0011141676785941168
OPTIMIZED_CORRECTED,RJ,WEEKLY,CASEONLY,xgb_zip,10,2.3119148983103193,1.5204885001888582,0.2934078175320951,0.5930786065143263,89.80712190676786,18.573271167847047,5.231081174477064,0.7743002720564883,0.5789355177129586,0.01743182735871297,0.0057367338516361634,0.00149248067081671,0.0030681853752460627,0.5808828020972501,0.03273820238042512,0.1966383273072486,0.0027322287489146006,0.005591010853926951
OPTIMIZED_CORRECTED,RJ,WEEKLY,FULL,rf,10,2.3214940853763073,1.5236305523488847,0.28796359791988113,0.6483616774139553,67.96517286862817,20.208239441437406,2.8403734478464244,0.8096058246247685,0.6238876830219262,0.021301761826864243,0.00699407092866919,0.0008256590267455939,0.003226592668967241,0.2466477406599768,0.12046177983821979,0.02094405559644802,0.0015761031567550544,0.0017402051669037856
OPTIMIZED_CORRECTED,RJ,WEEKLY,FULL,xgb_poisson,10,2.7494128235899193,1.6580587140290173,0.2842262414995142,0.5835445287266349,68.8352412409091,18.93948131132785,3.332575802430881,0.79190328006359,0.6245009162789993,0.0553598986798576,0.016803585013023342,0.0009423588822345267,0.008385402329019085,0.290388840866609,0.07226601418785483,0.03187991190020774,0.0046563086321761045,0.0012936236259713319
OPTIMIZED_CORRECTED,RJ,WEEKLY,FULL,xgb_zip,10,2.647154123092748,1.626932622135453,0.294622549859992,0.599033725162311,88.76283820991014,17.667098715983396,4.948111983346537,0.7919103391306488,0.5916962970347783,0.05370060981602511,0.016477800696280805,0.0017224234887902254,0.008134068691583075,0.7498583158952165,0.06406958150637866,0.19664823528533046,0.004656365307916724,0.005789479974205248
OPTIMIZED_CORRECTED,RN,DAILY,CASEONLY,rf,10,2.548435563234797,1.5963746840312525,0.2282387409382864,0.356295903362889,82.5628474563683,13.776379795470495,1.970549124365387,0.6193535874742109,0.5086697408632005,0.01627752943088683,0.005102441563210924,0.0010974132791841703,0.00411150767512168,0.5205179933787887,0.05009826345329909,0.01186245664077715,0.00410437054471336,0.0016588478373941154
OPTIMIZED_CORRECTED,RN,DAILY,CASEONLY,xgb_poisson,10,3.517334635465575,1.8753710638881451,0.2308755587274161,0.11156367978993402,77.38213100277896,13.329106576692547,2.981259974652967,0.3936604670567757,0.4902408064901209,0.07057266404732329,0.01879740515847851,0.0012367062393915914,0.017825804039633596,0.4286932940296189,0.053058959329442885,0.38773595519829196,0.02132384048801085,0.004915684452886815
OPTIMIZED_CORRECTED,RN,DAILY,CASEONLY,xgb_zip,10,2.9821395034368776,1.7259109465351201,0.25963640461255305,0.24674751726150795,95.54966897164994,13.916164641569727,2.741436570568905,0.5015081081620942,0.4767418224281258,0.21424597166486384,0.06120010954169018,0.007909490787776098,0.05411594926638724,7.259683985773441,0.67552798478675,0.39933060207896687,0.05294197628303572,0.010414946104452219
OPTIMIZED_CORRECTED,RN,DAILY,FULL,rf,10,0.27534124629080114,0.5247268661125227,0.09988130563798216,0.1721194545797879,76.72681865539008,11.545524663101087,1.5849228733729481,0.424329554030911,0.3701277011089196,0.0018997793906919231,0.0018142248212237788,0.0012566102839293508,0.005712149630073925,0.846710264900771,0.21546918841569454,0.021694261624483367,0.005816648575368876,0.004311399010461013
OPTIMIZED_CORRECTED,RN,DAILY,FULL,xgb_poisson,10,0.3158160237388724,0.561963887744801,0.08091988130563793,0.05042217427445657,96.82643868358153,7.766227663942726,3.143320307015781,0.33792819965903037,0.21673425480666575,0.004217525604065761,0.0037435291758235265,0.00047539524592276006,0.01268101835251386,0.6057712908989195,0.08442040952056538,0.11493135225002121,0.03633954973499345,0.023637720604925718
OPTIMIZED_CORRECTED,RN,DAILY,FULL,xgb_zip,10,0.44160237388724033,0.6626406497115779,0.18771513353115724,-0.3277851359999564,83.29928908500338,19.47463032074176,1.4030809498753267,0.3850782835318733,0.3436948803040597,0.07263335567106918,0.05280723053457088,0.048650251571802486,0.2183898813516555,4.58933429431079,6.5369390445176165,0.19471559655394716,0.027372201886137117,0.020438137969008237
OPTIMIZED_CORRECTED,RN,WEEKLY,CASEONLY,rf,10,88.15385021097046,9.388859213779051,1.0761075949367087,0.28758763803929466,85.7603047731271,29.609767471580437,4.4341704473925585,0.6589878766710802,0.6305967711426854,1.1126152062714338,0.05937521748924695,0.011069110249815953,0.008991562196730819,1.8706430570509054,0.42758274331613916,0.15494728212361158,0.007624333923412029,0.004280110061260687
OPTIMIZED_CORRECTED,RN,WEEKLY,CASEONLY,xgb_poisson,10,122.69077004219409,11.076578748410224,1.283597046413502,0.00847868734768213,70.83513439249649,29.277434695565553,31.04792199187766,0.18565777705377962,0.5560419115086981,0.30731465355457915,0.013875336276265592,0.004447995363517288,0.002483552989234173,0.7821066252403277,0.21237737798910047,1.1349354927904791,0.016074508345709615,0.005669626219058506
OPTIMIZED_CORRECTED,RN,WEEKLY,CASEONLY,xgb_zip,10,113.80084388185654,10.663907499386971,1.2986286919831223,0.0803223252419483,89.84174764936265,29.11186618164651,7.978408818624108,0.38696176325459614,0.6227323086606351,6.3821002760583765,0.30170023086736847,0.07502843886011205,0.051576727744229604,5.023999512693843,2.2450236572580846,1.260180075383018,0.13032021860143952,0.013451844385823544
