local,resolution,features,stage,seed,model,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson,Spearman
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,254,xgb_poisson,0.143467472889099,0.3787710032316347,0.0486623059967569,0.3231213263387571,80.70044662245598,6.045850087255724,1.133672696407381,0.5720099226557942,0.3715830825877945
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,254,xgb_zip,0.1516717891403557,0.3894506247784894,0.0461082334510666,0.2844134116413205,95.7657709473154,5.097105951687186,1.5710110366862955,0.5391154614963096,0.3120554603023099
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,75,rf,0.1406566796340476,0.3750422371334296,0.0491566426185034,0.3363826319999077,81.0593769847724,6.112361643550041,1.13246093083549,0.5822091270881041,0.3678457497215867
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,75,xgb_poisson,0.1432812011185858,0.3785250336749022,0.0486527535982691,0.3240001554309999,80.6982348732354,6.04513238837286,1.135104958436748,0.5729047215938841,0.3710873291533565
RJ,DAILY,CASEONLY,OPTIMIZED_CORRECTED,75,xgb_zip,0.1535798807383049,0.3918926903353836,0.0457380780096622,0.2754110469656542,96.12544087481474,5.091382453690877,1.627879576523274,0.5305961584814356,0.2967992452822536
RJ,DAILY,FULL,BASELINE_CORRECTED,987,rf,0.1554129507441125,0.394224492826248,0.0497430948028125,0.3500294988251687,80.62458563665635,5.976616505983947,1.1075204874222722,0.5932734213112618,0.3749421146891125
RJ,DAILY,FULL,BASELINE_CORRECTED,987,xgb_poisson,0.1589332170222507,0.3986642911300819,0.0483881944251108,0.3353069855074876,81.80337772865349,5.773687156451661,1.152920858505354,0.5881933831365073,0.3738232187065191
RJ,DAILY,FULL,BASELINE_CORRECTED,987,xgb_zip,0.1712866294842407,0.4138678889262137,0.0477555982441975,0.2836423484827428,97.4269064348561,5.04991768976808,1.6360215282065231,0.5447357916259394,0.2970393986356706
RJ,DAILY,FULL,OPTIMIZED_CORRECTED,107,rf,0.1567925981606763,0.3959704511206314,0.049987471811576,0.3442595155741267,80.36599584431036,6.016524737445009,1.1012703704709532,0.5884241763845978,0.3757867767170103
RJ,DAILY,FULL,OPTIMIZED_CORRECTED,107,xgb_poisson,0.1531841705565918,0.3913874941239076,0.048927989210291,0.3593507385838588,80.61040361732753,5.894128854819121,1.1065862650760028,0.6019261345646119,0.3797527798566857
RJ,DAILY,FULL,OPTIMIZED_CORRECTED,107,xgb_zip,0.1664671436658407,0.408003852513479,0.0470595877762001,0.3037984783148582,95.04612685003356,5.030581899462103,1.5608068339244847,0.5549258490913292,0.3156281813174973
RJ,DAILY,FULL,OPTIMIZED_CORRECTED,109,rf,0.1573741535739364,0.3967041133816694,0.0499905651914338,0.3418273253248086,80.61791292536185,6.00243481856953,1.106694690641259,0.5863144180008772,0.3745099130665689
RJ,DAILY,FULL,OPTIMIZED_CORRECTED,109,xgb_poisson,0.1533883336272044,0.3916482268914343,0.0490176972261662,0.3584968845601619,80.6297440719024,5.902492616958821,1.1089065705843255,0.6010910910676874,0.378856163741582
