Dataset,Variant,Model,Seed,Conjunto,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson
RJ,DAILY_FULL,xgb_zip,987,Treino,8.585548732826667e-05,0.0092658236184522,8.585548732826667e-05,0.9998150202022426,0.1226446027170343,0.0009767009602398,9.78024188465745e-06,0.9999105173385238
RJ,DAILY_FULL,xgb_zip,987,Validação,0.0253439039812925,0.1591976883666737,0.0059683596406456,0.7709207503691063,16.844776880976234,0.3137913882092801,0.0430128280964114,0.8812980268660859
RJ,DAILY_FULL,xgb_zip,987,Teste,0.048851413777045,0.2210235593257991,0.0124823867473469,0.789005755687382,14.78761725396318,0.7110517611629857,0.0918808587242469,0.891743301780946
RJ,DAILY_FULL,xgb_poisson,987,Treino,0.0032720480170661,0.0572018183020973,0.0023049813472991,0.9929502143743568,7.932422636070553,0.145878690297693,0.0128457230797538,0.9965705089246788
RJ,DAILY_FULL,xgb_poisson,987,Validação,0.0284362062588734,0.1686303835578674,0.0067997840533543,0.7429699545523676,20.33781143883328,0.4782367193092954,0.0543233209790458,0.8700035198967104
RJ,DAILY_FULL,xgb_poisson,987,Teste,0.0568355891773394,0.2384021584997489,0.0150758960859272,0.754521286870717,20.412066296897287,1.1896217013419417,0.1398188488549785,0.8804136829766477
RN,WEEKLY_CASESONLY,xgb_poisson,987,Treino,0.0244082840236686,0.1562315077814607,0.0078895463510848,0.9941305218665994,2.542677426983829,0.3482706978016465,0.0348109314325002,0.9990607941593932
RN,WEEKLY_CASESONLY,xgb_poisson,987,Validação,121.56610664718772,11.025702093163398,1.6284392500608718,0.2510607513441322,56.98102863559696,15.788126012607233,11.705468320893615,0.5669416065172928
RN,WEEKLY_CASESONLY,xgb_poisson,987,Teste,93.71432117150658,9.680615743407367,1.2635889798957558,0.1473094099805739,60.78793557071186,18.95217055583408,12.49500442606882,0.3927072675903047
RJ,WEEKLY_CASESONLY,rf,987,Treino,0.8212049497991321,0.9062035918043648,0.0730153407662,0.9450025179742716,54.158315506668686,4.403490389729548,0.487438904619121,0.9731800703803392
RJ,WEEKLY_CASESONLY,rf,987,Validação,0.4856604227668364,0.6968934084684949,0.0775821266696081,0.7678081333311235,59.96957054275743,5.803433833607519,0.6361611720833531,0.878070409411498
RJ,WEEKLY_CASESONLY,rf,987,Teste,0.9275585473013824,0.9630984099776008,0.1693337095408924,0.7953501284233095,50.75956389942351,12.71348304999958,1.2125414786468316,0.8918695571555952
RJ,WEEKLY_FULL,xgb_poisson,987,Treino,0.0164895924599562,0.1284118081017329,0.0117770651332522,0.9988240285989108,8.559595036663865,0.7225951573389723,0.0427428176457151,0.9994377850022668
RJ,WEEKLY_FULL,xgb_poisson,987,Validação,0.5954250452175763,0.7716378977328526,0.058261517182679,0.7496210948902008,31.3908038664794,2.6895647801429825,0.2609735525398974,0.8734033434952846
RJ,WEEKLY_FULL,xgb_poisson,987,Teste,1.4228759244042728,1.1928436294855551,0.1466666666666666,0.7396667388976346,31.8332907820741,7.039000211132797,0.6738482995662468,0.8701201385828995
RN,WEEKLY_CASESONLY,xgb_zip,987,Treino,0.034516765285996,0.185786881361403,0.0059171597633136,0.9916997278921608,0.0,0.3944773175316562,0.0118343197146942,0.9958774888788294
RN,WEEKLY_CASESONLY,xgb_zip,987,Validação,100.78159240321402,10.039003556290536,1.4463111760409058,0.3791090940185905,50.50585635494616,16.351721549849636,3.4266821986463296,0.7501128119489482
RN,WEEKLY_CASESONLY,xgb_zip,987,Teste,81.79101514023331,9.043838518031672,1.1844130057086126,0.2557975335426297,60.16050192864052,19.068852639345568,3.1430601014218413,0.5161592193727252
RJ,WEEKLY_CASESONLY,xgb_zip,987,Treino,0.0001966764897438,0.0140241395366633,0.000190228080244,0.9999868282434096,0.0217982271860871,0.0007258673743975,7.27984841013277e-06,0.9999934929770044
RJ,WEEKLY_CASESONLY,xgb_zip,987,Validação,0.3539168103966948,0.5949090774199827,0.0442220528659099,0.830794108395042,22.51136350033619,1.6932311101201702,0.1377432896724523,0.915028700416026
