ID_UNIDADE,TOTAL_CASES,LAT,LNG,DIST_KM,LEVEL
2271451,13,-22.84528,-43.26403,15.20522187487731,3
7642423,38,-22.99342,-43.37147,15.239771434892623,3
9993576,2,-22.99342,-43.37147,15.239771434892623,3
6832512,1,-22.9028,-43.55441,15.358311184919856,3
9061401,284,-22.88409,-43.55926,15.358527575391891,3
2295407,1181,-22.90405,-43.55427,15.386846591312471,3
6038905,140,-22.90405,-43.55427,15.386846591312471,3
7110170,126,-22.90405,-43.55427,15.386846591312471,3
2270633,81,-22.90405,-43.55427,15.386846591312471,3
7505140,14,-22.90405,-43.55427,15.386846591312471,3
0408573,6,-22.90405,-43.55427,15.386846591312471,3
0942197,3,-22.90405,-43.55427,15.386846591312471,3
2976706,1,-22.90405,-43.55427,15.386846591312471,3
7087764,1,-22.90405,-43.55427,15.386846591312471,3
2798662,125,-22.73094,-43.46156,15.390048112991586,3
6038891,322,-22.90091,-43.26718,15.413304099131327,3
7595905,25,-22.74503,-43.49468,15.50154311690686,3
6221408,3,-22.88964,-43.55981,15.526811213932445,3
2280736,95,-22.89285,-43.26337,15.56261042118545,3
5154197,122,-22.91393,-43.5522,15.562993135095715,3
6091997,44,-22.77317,-43.52974,15.600289012812938,3
6688152,26,-22.89806,-43.26354,15.685888180321804,3
7359810,1,-22.90409,-43.55751,15.704274034452277,3
3046281,167,-22.89757,-43.56129,15.875130324638992,3
7659415,606,-22.91223,-43.55668,15.921279916497376,3
9283986,1,-22.91223,-43.55668,15.921279916497376,3
6762042,109,-22.90336,-43.26122,16.076312269675586,3
2280272,399,-22.91792,-43.26605,16.16098675531966,3
3005984,3,-22.91911,-43.26623,16.19592221886139,3
6023320,18,-22.86426,-43.25283,16.24897366458858,3
2269880,6,-22.86646,-43.25233,16.30668722059473,3
7892829,59,-22.98767,-43.33003,16.327845583163462,3
2295032,69,-22.85207,-43.25199,16.36547327567873,3
6029825,104,-22.91856,-43.55863,16.368156534604914,3
2270331,100,-22.91856,-43.55863,16.368156534604914,3
6713564,26,-22.90133,-43.25585,16.541601914774045,3
2269554,256,-22.89785,-43.56925,16.67279407389744,3
2296551,67,-22.84197,-43.24947,16.731379902139388,3
5456932,99,-22.88257,-43.24967,16.735054797399545,3
2288338,601,-22.86363,-43.24804,16.73851116156084,3
4046544,4,-22.86363,-43.24804,16.73851116156084,3
9442251,7,-22.85611,-43.2468,16.874384855640905,3
6033075,7,-22.74957,-43.29909,16.943975614426765,3
3785025,163,-22.91696,-43.25713,16.96738921873317,3
9345515,13,-22.84933,-43.24621,16.97808023222182,3
5476844,13,-22.85955,-43.24535,17.013756365452952,3
9061398,250,-22.87205,-43.57763,17.073670319147322,3
