ID_UNIDADE,LAT,LNG,Y_MEAN,N_OBS,coef_Intercept,t_Intercept,coef_TEM_AVG,t_TEM_AVG,coef_RAIN,t_RAIN
2270420,-22.87413,-43.47596,0.47619047619047616,21,-0.39941391127297293,-8.466272115067794,0.09459913308919915,1.767418509801658,-0.33458056776057266,-5.229366737694743
2270439,-22.85335,-43.48704,0.42857142857142855,21,-0.39641805039501155,-8.451982094598286,0.09132324633832019,1.745121244335522,-0.3149984931092485,-4.930155583582009
2270455,-22.87285,-43.44901,1.4285714285714286,21,-0.40152830871401757,-8.401736896624756,0.08983325736507594,1.661950377376722,-0.45617597819307526,-5.090197512801882
2270463,-22.85694,-43.46443,0.6666666666666666,21,-0.3980585355227073,-8.427587831261755,0.09009686209270477,1.7271640507974313,-0.47105655660391144,-5.229667331326714
2270471,-22.87511,-43.27102,4.571428571428571,21,-0.3783099614233987,-8.090132486939687,0.07043249501026869,1.3602550669470617,-0.048601963785862755,-0.7998871782276533
2270552,-22.87976,-43.497,0.23809523809523808,21,-0.39860669654702224,-8.47982734601524,0.09543592681577559,1.7789516279664026,-0.22791120799768746,-4.178137083836422
2270560,-22.89142,-43.40083,5.0,21,-0.40322997534187094,-8.36177406163988,0.03737862377631261,0.7391672551823637,-0.19773783776636783,-2.775882095912998
2270579,-22.86707,-43.4789,1.0476190476190477,21,-0.39839319810921486,-8.461751874269464,0.09368594329233806,1.7649405961112274,-0.3341448972542424,-5.194474576757743
2270633,-22.90405,-43.55427,0.0,21,-0.3976816162340824,-8.438185038950177,0.09616765873954632,1.7655574314634368,-0.15760587755277278,-2.9204555550551032
2270641,-22.85424,-43.54117,0.0,21,-0.3946133257755617,-8.439140192846665,0.0904779659752283,1.71465549962821,-0.16668561409652605,-3.013729246871976
2271451,-22.84528,-43.26403,0.0,21,-0.37673880442001695,-8.062942290611787,0.07500817630719274,1.4654833308576765,-0.024941384936137838,-0.41608360743347145
2273179,-22.84823,-43.37721,0.42857142857142855,21,-0.3900892747043852,-8.243727258891962,-0.015965568300498334,-0.26983850224367617,-0.14849310744618271,-1.9769291855021691
2273225,-22.86913,-43.29745,0.8571428571428571,21,-0.3801959847718672,-8.125336698412587,0.05942372143783449,1.1425892889256286,-0.030361413959789016,-0.5075155363193052
2273349,-22.91807,-43.34187,0.09523809523809523,21,-0.389512746420424,-8.269992431952655,0.03556034256200153,0.6671189319688869,0.05004676238915505,0.786734169984039
2273411,-22.86391,-43.37268,1.8095238095238095,21,-0.3909047564609415,-8.268387528610523,-0.01883117813863879,-0.319547608782975,-0.10542009521677428,-1.4691862458490246
2274663,-22.7796,-43.35097,0.0,21,-0.3803105604362558,-8.1105644866006,0.07287954027317574,1.530743083373628,-0.049935266607088344,-0.7910381165970728
2274868,-22.77412,-43.39183,0.0,21,-0.38378768502940885,-8.18429017998416,0.0688388302270535,1.5711409167990804,-0.13228258811436513,-1.686839231624998
2274876,-22.7795,-43.36917,0.0,21,-0.382068952594712,-8.144479192691982,0.06928026729531105,1.5261845512971268,-0.0981305642243771,-1.5029842105432607
2277549,-22.77974,-43.30138,0.0,21,-0.37648500980436944,-8.052431881009666,0.08074947357862412,1.6138628416740575,0.023619077200168294,0.380610810523562
2277603,-22.78211,-43.31099,1.1428571428571428,21,-0.37719458126475375,-8.06331597058746,0.07875961786328084,1.5741736016067023,0.020202585805328816,0.3211443469544671
2277751,-22.75254,-43.29092,0.6190476190476191,21,-0.3748842164966063,-8.021961500171063,0.08906541031076132,1.8304622546329306,0.019469433387391925,0.2998657661420415
2277964,-22.78958,-43.28922,0.0,21,-0.37615572028493344,-8.049424513852557,0.08019183869210944,1.5723029333174094,0.030002748986502247,0.49420237933203576
2278634,-22.80259,-43.37235,0.0,21,-0.3844125896435634,-8.160088464694066,0.051280547607342256,1.0688206538594187,-0.14876176996675666,-2.140808419795949
2280248,-22.90947,-43.28628,0.0,21,-0.3810310688121646,-8.133020908530627,0.0647310841071488,1.2398029710403404,-0.040337505035498156,-0.6616192382738538
2280272,-22.91792,-43.26605,1.0952380952380953,21,-0.37958532802821465,-8.104035365647869,0.07102698632721811,1.3572592542098785,-0.056776508530961375,-0.9156909344647335
2280736,-22.89285,-43.26337,0.14285714285714285,21,-0.37842723736250455,-8.088644018543308,0.07199002762445432,1.3855961608169505,-0.057028345471746095,-0.9242476561314928
2280744,-22.91217,-43.27401,0.23809523809523808,21,-0.3800225289778468,-8.11378887051733,0.06876856794594319,1.3162912207540456,-0.05190472437185096,-0.8403840565718863
2281678,-22.75911,-43.45098,0.0,21,-0.3862886917718045,-8.226876939527388,0.06874485437122341,1.352427841973647,-0.08672605484662631,-0.9050206212392018
2282097,-22.76024,-43.43999,0.0,21,-0.38597253517110547,-8.226119576455211,0.06824770687902598,1.3827319505544684,-0.0877359258223981,-0.9110267925526371
2283565,-22.81064,-43.28825,0.0,21,-0.3769168318867265,-8.064995538434486,0.07413901540540144,1.4494966205938251,0.01958742590002093,0.3260702706739118
2283832,-22.77242,-43.43144,0.0,21,-0.38677749755750906,-8.228922855402535,0.06801047567115738,1.4281668522476012,-0.1213932336576319,-1.299446182919944
2284073,-22.81097,-43.38657,0.0,21,-0.38724738953174537,-8.19145659837406,0.04989582971719836,1.0824745318244076,-0.20161621130377635,-2.6391338501471377
2284081,-22.80884,-43.38727,0.0,21,-0.3870497984483397,-8.191246369706208,0.05247358462639287,1.151163846812297,-0.2020029011338265,-2.650188584077847
2284170,-22.76048,-43.45091,0.09523809523809523,21,-0.3864106763662471,-8.227393173021467,0.06882318066751274,1.3538585124558244,-0.08953626618733086,-0.9367767311522235
2284189,-22.76825,-43.44653,0.47619047619047616,21,-0.387026540271788,-8.230457258998129,0.06900344713854879,1.369824583294464,-0.1085876537914163,-1.1585417766871957
2284510,-22.76825,-43.44653,0.3333333333333333,21,-0.38702437435802567,-8.230454988160595,0.06899916569624791,1.3700318494818595,-0.10851550842476118,-1.1575361475431059
2286025,-22.78859,-43.40909,0.0,21,-0.3869246989973701,-8.217814260603783,0.06553057761810328,1.45041998038288,-0.18532899781087045,-2.175188653763726
2286033,-22.80233,-43.43712,0.047619047619047616,21,-0.3908749802318859,-8.238829267545617,0.07070525978148341,1.432874314470596,-0.26856519375470783,-3.4223812243809584
